,name,x,y,stage
0,b'W 1',8750.0,18750.0,12.05
1,b'W 2',5250.0,18250.0,11.63
2,b'W 3',10250.0,16750.0,12.15
3,b'W 4',11250.0,13750.0,11.44
4,b'W 5',5750.0,12750.0,10.86
5,b'W 6',9250.0,11750.0,10.8
6,b'W 7',750.0,11250.0,9.16
7,b'W 8',3250.0,10750.0,8.82
8,b'W 9',5750.0,10250.0,8.86
9,b'W 10',11250.0,10750.0,10.65
10,b'W 11',2750.0,6750.0,4.26
11,b'W 12',5750.0,6250.0,4.19
12,b'W 13',11750.0,5750.0,7.57
13,b'W 14',3250.0,4750.0,2.7
14,b'W 15',7250.0,3250.0,4.59
15,b'W 16',750.0,1750.0,2.76
16,b'W 17',11250.0,1250.0,6.23
