,Unnamed: 0,X,Y,Por,Perm,AI,Facies
0,2902,2900,8690,19.91895970753067,230.0343074208966,3872.084993769816,0
1,1853,1400,7790,23.18192978847793,436.2804323795008,3635.9184127314734,0
2,4407,1800,6190,16.87956433428224,76.42582504028917,4044.69794,0
3,3200,4800,190,14.563101544862109,106.76075359235216,4449.6549550070185,0
4,3534,1300,8090,21.56637937228884,618.9362052764835,3734.979848376429,0
5,322,1900,8490,24.778735829018032,624.2210757605192,3768.824532909968,0
6,345,700,8890,21.589075879156816,193.92914934389583,3583.617969998104,0
7,4077,7500,9490,13.20365355450575,569.0833335861901,4187.214494927719,0
8,543,900,7490,21.635480931531536,54.45597783639539,3802.521842306727,0
9,3649,800,8890,27.00439586103492,17.813989308680107,3610.0722353246974,0
10,4868,200,9190,22.6942213,619.7480339876078,3657.4109778851566,0
11,3077,2500,7690,20.646681106584964,93.99899946704367,3825.715280322423,0
12,2761,7800,90,20.420621975764533,721.0414008590785,4036.962090045958,0
13,2579,500,4590,12.328778980505025,323.6026716,4619.414633196478,0
14,239,800,9590,24.64889363539425,315.2428611670079,3630.67063594962,0
15,3067,2500,9190,26.038081422197514,840.7520768276754,3682.2156565219616,0
16,301,1700,7490,27.067270659730447,734.3505399921555,3620.2646974561007,0
17,1732,1800,9990,24.59906807942752,463.0786549782704,3747.738043690879,0
18,4724,4300,9290,19.09418827020901,442.2464455031513,4184.1515725299805,0
19,2561,4400,2590,11.435087304428782,166.83727591333758,4349.085986268059,0
20,2023,4500,90,13.71561389728044,575.3011164123503,4691.623464922418,0
21,445,500,8290,22.392680430350254,362.5373190123196,3638.990203852702,0
22,2647,1200,8090,23.17530343685536,861.5865157036105,3682.683384,0
23,4278,1800,9690,22.356170355870788,808.3494372167465,3649.694610377376,0
24,4592,8700,2490,16.846657323334178,88.67272196320715,4100.936607960674,0
25,4558,2100,1390,18.48377870867734,623.3411787690643,3942.402608914831,0
26,1253,3600,1690,13.29816458196088,40.7872499143329,4268.297597533039,0
27,3496,400,7490,19.836252294232025,281.0526074782262,3913.103713826951,0
28,3750,4200,9290,17.25118275432911,1458.2881930955018,4382.299626560491,0
29,3730,3700,6390,16.23488959359062,357.9118959018999,4078.156943614429,0
30,850,7900,4290,15.286817877233489,0.0,4112.895295,0
31,2661,8300,90,20.396410298065536,136.97023748063862,3827.718492258567,0
32,1522,800,9790,23.590791696701302,975.3888994404012,3652.988189841813,0
33,2816,2700,8290,21.903816441562032,962.1494983,3722.161691379356,0
34,3536,0,790,20.769133262205703,0.0,3743.118425815129,0
35,2028,4200,9890,17.086116366945255,837.7180270156948,3956.363738767776,0
36,264,7300,690,13.15974580586624,379.044369201504,4344.443245580548,0
37,4107,3100,9490,24.22132291,472.9206012794488,3773.781910028029,0
38,4551,200,2290,13.637288328530772,291.3980248016071,4206.276203640162,0
39,1435,2300,8690,21.39334427217903,595.0711201647655,3800.362461467312,0
40,1225,1000,590,18.1960815008056,450.0676263733565,3859.750511309601,0
