,X,Y,Facies,Porosity
0,100,900,1,0.115359069
1,100,800,1,0.136424766
2,100,600,1,0.135809727
3,100,500,0,0.094414282
4,100,100,0,0.113048576
5,200,800,1,0.154648357
6,200,700,1,0.15311323
7,200,500,1,0.12616738
8,200,400,0,0.094749569
9,200,100,1,0.150960867
10,300,800,1,0.199226597
11,300,700,1,0.154219807
12,300,500,1,0.13750199
13,300,400,1,0.118448244
14,400,900,1,0.223660709
15,400,800,1,0.163242444
16,400,700,1,0.156662709
17,400,600,1,0.163053943
18,400,500,1,0.101716055
19,400,400,1,0.129277529
20,400,300,1,0.145788823
21,400,200,1,0.154893377
22,500,900,1,0.209325655
23,500,500,1,0.104981377
24,600,800,1,0.1364239
25,600,100,1,0.132085076
26,700,300,1,0.140504923
27,700,200,1,0.146636077
28,700,100,1,0.137176739
29,800,900,1,0.105208576
30,800,800,1,0.127831069
31,800,300,1,0.147083926
32,800,200,1,0.155054021
33,800,100,1,0.125215047
34,900,900,1,0.125825784
35,900,600,0,0.08452505
36,900,500,0,0.094940467
37,900,300,1,0.134646661
38,900,200,1,0.140610103
39,900,100,1,0.135195639
40,390,914,1,0.190066613
41,400,914,1,0.201235916
42,410,914,1,0.195725053
43,420,914,1,0.205872038
44,390,904,1,0.19656527
45,400,904,1,0.223660709
46,410,904,1,0.220049213
47,420,904,1,0.212734835
48,400,894,1,0.215541373
49,410,894,1,0.214893429
50,420,894,1,0.212179159
51,390,884,1,0.218217266
52,400,884,1,0.212797425
53,410,884,1,0.21825421
54,390,874,1,0.213632968
55,400,874,1,0.208405566
56,410,874,1,0.204416061
57,420,874,1,0.205472564
58,0,109,0,0.096081918
59,400,779,1,0.187912891
60,460,859,1,0.20442251
61,290,719,1,0.147260872
62,300,679,1,0.14252179
63,820,439,1,0.114396345
64,610,549,0,0.104368079
65,670,269,1,0.113593511
66,640,849,1,0.133848995
67,680,89,1,0.127404536
68,640,529,1,0.120547376
69,510,899,1,0.197746203
70,980,529,1,0.106200048
71,800,249,1,0.17748809
72,670,469,1,0.142146779
73,730,219,1,0.166514126
74,590,579,0,0.09512757
75,520,649,1,0.125969352
76,840,949,1,0.141307101
77,240,449,0,0.091766106
78,290,149,1,0.159122962
79,170,229,0,0.101343172
80,110,439,0,0.08112777
81,450,619,1,0.113712218
82,350,839,1,0.22140153
83,50,619,1,0.130719046
84,900,679,0,0.079188826
85,350,519,1,0.124465452
86,560,479,1,0.101405957
87,520,919,1,0.202047182
88,690,559,0,0.109997744
89,170,759,1,0.1203696
90,430,809,1,0.181352112
91,490,499,1,0.101689235
92,260,589,1,0.119709408
93,300,199,1,0.122519824
94,320,869,1,0.199985121
95,730,379,1,0.121767247
96,280,979,1,0.143095177
97,600,419,1,0.115137892
98,470,759,1,0.163306951
99,620,109,1,0.11216696
100,300,909,1,0.157861706
101,740,379,1,0.132214886
102,640,49,1,0.109308487
103,410,899,1,0.214893429
104,740,439,1,0.138148707
105,920,649,0,0.058547873
106,550,959,1,0.170628805
107,390,779,1,0.193280117
108,500,799,1,0.171572931
109,560,59,1,0.113828062
110,460,879,1,0.196330636
111,990,529,1,0.118635917
112,500,259,1,0.116832481
113,390,869,1,0.212656421
114,260,919,1,0.153079134
115,810,339,1,0.127796152
116,390,259,1,0.140992435
117,130,769,1,0.128778445
118,670,279,1,0.119761986
119,760,99,1,0.126947237
120,900,559,1,0.133473829
121,640,129,1,0.114476682
122,400,999,1,0.191511835
123,50,39,0,0.097015379
124,420,289,1,0.155335931
125,630,839,1,0.117613342
126,360,879,1,0.201474322
127,980,959,0,0.081237568
128,390,849,1,0.197310227
129,490,279,1,0.133387869
130,330,39,1,0.09579508
131,320,99,1,0.141749313
132,670,319,1,0.143560565
133,250,569,1,0.120867738
134,280,539,1,0.118801946
135,190,829,1,0.129949593
136,0,309,0,0.08777591
137,610,659,0,0.090408643
138,400,229,1,0.142358634
139,990,979,0,0.080574539
140,260,719,1,0.140837171
141,690,209,1,0.138873089
142,150,29,0,0.065626061
143,180,149,1,0.118724223
144,490,839,1,0.168275412
145,770,259,1,0.164412893
146,670,49,0,0.118435055
147,750,579,0,0.089939996
148,0,749,0,0.122770296
149,310,169,1,0.141879165
150,20,69,0,0.10448375
151,460,479,1,0.109635831
152,270,319,1,0.1091238
153,360,279,1,0.134606664
154,210,349,0,0.097296614
155,550,249,1,0.125761543
156,600,889,1,0.150571839
157,800,279,1,0.166526165
158,30,39,0,0.092558515
159,590,69,1,0.114116791
160,760,819,1,0.131347653
161,510,999,1,0.167969429
162,850,119,1,0.116842712
163,450,279,1,0.155483578
164,110,689,1,0.102855973
165,180,209,0,0.104041701
166,40,89,0,0.087802407
167,90,569,1,0.128080663
168,260,699,1,0.140125061
169,790,739,0,0.079962475
170,670,889,1,0.119600598
171,610,889,1,0.148125837
172,60,619,1,0.123570504
173,940,969,0,0.101635628
174,10,549,1,0.128618467
175,370,39,1,0.112108994
176,570,769,1,0.116615733
177,840,9,0,0.0947238
178,740,679,0,0.074348923
179,480,549,1,0.111988985
180,750,679,0,0.074619049
181,640,669,0,0.105466603
182,370,139,1,0.123530465
183,420,659,1,0.135815739
184,980,79,1,0.121735259
185,340,819,1,0.228790002
186,830,109,1,0.110402082
187,20,839,0,0.099086074
188,280,239,1,0.121368696
189,510,179,1,0.106317681
190,930,299,1,0.128735944
191,410,909,1,0.220049213
192,420,39,1,0.105299766
193,950,469,0,0.081716728
194,280,349,1,0.100090464
195,540,839,1,0.170413992
196,500,699,1,0.121085212
197,490,419,1,0.098453817
198,790,319,1,0.143726883
199,920,329,1,0.104722856
200,990,329,1,0.110704126
201,630,809,1,0.101319665
202,190,179,1,0.108595958
203,360,309,1,0.146561498
204,740,479,1,0.112216712
205,420,559,1,0.145929973
206,400,99,1,0.123664978
207,450,689,1,0.154762647
208,530,199,1,0.102572815
209,530,789,1,0.154870714
210,520,559,1,0.11978006
211,210,869,1,0.155712515
212,420,209,1,0.161896138
213,890,59,1,0.09870764
214,470,899,1,0.211944002
215,860,99,1,0.107596045
216,900,849,1,0.12099204
217,420,519,1,0.111024259
218,350,649,1,0.147018111
219,270,559,1,0.118637705
220,290,239,1,0.120257857
221,490,959,1,0.196565965
222,20,499,1,0.143595956
223,520,709,1,0.121675477
224,120,219,0,0.079483292
225,770,989,0,0.074372863
226,420,99,1,0.110440103
227,50,769,1,0.104684041
228,40,229,0,0.10518841
229,250,559,1,0.10172256
230,770,589,0,0.104384592
231,650,289,1,0.121876303
232,590,299,0,0.092897455
