,0,1,2,3,4,5,6,7,8,9,10,11,12
0,0,"(0, 0, 22)",400.0,5,0.0018181818181818182,48.63636363636363,1,100,0.03,1,1.0,0,SEG1
1,1,"(0, 1, 22)",200.0,5,0.0018181818181818182,48.09090909090909,1,100,0.03,2,1.0,0,SEG1
2,2,"(0, 1, 21)",400.0,5,0.0018181818181818182,47.54545454545455,1,100,0.03,2,1.0,0,SEG1
3,3,"(0, 2, 20)",400.0,5,0.0018181818181818182,46.81818181818182,1,100,0.03,2,1.0,0,SEG1
4,4,"(0, 3, 19)",400.0,5,0.0018181818181818182,46.09090909090909,1,100,0.03,2,1.0,0,SEG1
5,5,"(0, 4, 19)",400.0,5,0.0018181818181818182,45.36363636363637,1,100,0.03,1,1.0,0,SEG1
6,6,"(0, 16, 17)",400.0,5,0.0021875,44.0625,1,100,0.03,1,1.0,0,SEG2
7,7,"(0, 17, 17)",400.0,5,0.0021875,43.1875,1,100,0.03,2,1.0,0,SEG2
8,8,"(0, 18, 17)",400.0,5,0.0021875,42.3125,1,100,0.03,2,1.0,0,SEG2
9,9,"(0, 19, 16)",400.0,5,0.0021875,41.4375,1,100,0.03,2,1.0,0,SEG2
10,10,"(0, 20, 16)",400.0,5,0.0021875,40.5625,1,100,0.03,2,1.0,0,SEG2
11,11,"(0, 21, 16)",400.0,5,0.0021875,39.6875,1,100,0.03,2,1.0,0,SEG2
12,12,"(0, 22, 15)",400.0,5,0.0021875,38.8125,1,100,0.03,2,1.0,0,SEG2
13,13,"(0, 23, 15)",400.0,5,0.0021875,37.9375,1,100,0.03,2,1.0,0,SEG2
14,14,"(0, 24, 15)",400.0,5,0.0021875,37.0625,1,100,0.03,2,1.0,0,SEG2
15,15,"(0, 25, 15)",400.0,5,0.0021875,36.1875,1,100,0.03,2,1.0,0,SEG2
16,16,"(0, 26, 15)",400.0,5,0.0021875,35.3125,1,100,0.03,2,1.0,0,SEG2
17,17,"(0, 27, 14)",400.0,5,0.0021875,34.4375,1,100,0.03,2,1.0,0,SEG2
18,18,"(0, 17, 10)",400.0,5,0.0017045454545454545,41.15909090909091,1,100,0.03,1,1.0,0,SEG3
19,19,"(0, 18, 10)",200.0,5,0.0017045454545454545,40.64772727272727,1,100,0.03,2,1.0,0,SEG3
20,20,"(0, 18, 11)",200.0,5,0.0017045454545454545,40.30681818181818,1,100,0.03,2,1.0,0,SEG3
21,21,"(0, 19, 11)",400.0,5,0.0017045454545454545,39.79545454545455,1,100,0.03,2,1.0,0,SEG3
22,22,"(0, 20, 11)",400.0,5,0.0017045454545454545,39.11363636363637,1,100,0.03,2,1.0,0,SEG3
23,23,"(0, 21, 12)",400.0,5,0.0017045454545454545,38.43181818181818,1,100,0.03,2,1.0,0,SEG3
24,24,"(0, 22, 12)",400.0,5,0.0017045454545454545,37.75,1,100,0.03,2,1.0,0,SEG3
25,25,"(0, 23, 12)",200.0,5,0.0017045454545454545,37.23863636363636,1,100,0.03,2,1.0,0,SEG3
26,26,"(0, 23, 13)",200.0,5,0.0017045454545454545,36.89772727272727,1,100,0.03,2,1.0,0,SEG3
27,27,"(0, 24, 13)",400.0,5,0.0017045454545454545,36.38636363636364,1,100,0.03,2,1.0,0,SEG3
28,28,"(0, 25, 13)",400.0,5,0.0017045454545454545,35.70454545454545,1,100,0.03,2,1.0,0,SEG3
29,29,"(0, 26, 13)",400.0,5,0.0017045454545454545,35.02272727272727,1,100,0.03,2,1.0,0,SEG3
30,30,"(0, 27, 14)",400.0,5,0.0017045454545454545,34.34090909090909,1,100,0.03,2,1.0,0,SEG3
31,31,"(0, 28, 14)",400.0,5,0.002428571428571429,33.51428571428571,1,100,0.03,3,1.0,0,SEG4
32,32,"(0, 29, 14)",400.0,5,0.002428571428571429,32.542857142857144,1,100,0.03,2,1.0,0,SEG4
33,33,"(0, 30, 14)",400.0,5,0.002428571428571429,31.57142857142857,1,100,0.03,2,1.0,0,SEG4
34,34,"(0, 31, 14)",400.0,5,0.002428571428571429,30.6,1,100,0.03,2,1.0,0,SEG4
35,35,"(0, 32, 14)",400.0,5,0.002428571428571429,29.628571428571426,1,100,0.03,2,1.0,0,SEG4
36,36,"(0, 33, 14)",400.0,5,0.002428571428571429,28.65714285714286,1,100,0.03,2,1.0,0,SEG4
37,37,"(0, 34, 14)",400.0,5,0.002428571428571429,27.685714285714283,1,100,0.03,1,1.0,0,SEG4
